,Date,Price,NAV,Prem/Disc,Return on Price,Return on NAV,Prem/Disc Z-score
28,2018-06-22,16.44,17.17,-4.2516016307513125,4.3809523809523885,3.7462235649546884,1.5355418037149877
29,2018-06-25,16.26,16.96,-4.127358490566033,4.498714652956306,1.7396520695860773,1.6734263769614466
30,2018-06-26,16.32,16.99,-3.943496174220119,4.884318766066836,1.919616076784623,1.9016493013713174
31,2018-06-27,16.12,16.87,-4.445761707172495,4.336569579288037,2.8031687995124974,1.0872783683388096
32,2018-06-28,16.16,16.95,-4.6607669616519125,4.595469255663436,3.416717510677234,0.7052359997892599
33,2018-06-29,16.22,16.96,-4.363207547169823,2.984126984126977,2.168674698795177,1.1675109738304479
34,2018-07-02,16.25,17.04,-4.63615023474178,5.588044184535409,4.539877300613488,0.6950993915870691
35,2018-07-03,16.27,16.99,-4.237786933490282,4.967741935483868,3.032140691328078,1.3153683603158854
36,2018-07-05,16.31,17.11,-4.6756282875511435,3.0973451327433525,1.7846519928613964,0.5553019016774509
37,2018-07-06,16.39,17.28,-5.1504629629629655,5.334190231362468,4.663840096910961,-0.3248509905509515
38,2018-07-09,16.56,17.44,-5.045871559633042,6.153846153846148,5.314009661835764,-0.15592206889637
39,2018-07-10,16.69,17.47,-4.464796794504852,5.632911392405067,4.050029779630731,0.9005630936448434
40,2018-07-11,16.61,17.38,-4.430379746835441,5.460317460317457,4.134212103055708,0.9407333126941033
41,2018-07-12,16.68,17.5,-4.685714285714288,5.56962025316455,3.9809863339275204,0.4260891706968855
42,2018-07-13,16.64,17.42,-4.477611940298513,5.717916137229989,4.248952722920412,0.8165184398724075
43,2018-07-16,16.63,17.42,-4.535017221584401,5.45339251743817,3.5671819262782485,0.6763414116025059
44,2018-07-17,16.6,17.48,-5.0343249427917565,4.140526976160615,3.126843657817116,-0.4380962811744377
45,2018-07-18,16.71,17.52,-4.62328767123287,4.6992481203007515,3.3018867924528226,0.4620187041247668
46,2018-07-19,16.6,17.49,-5.088622069754129,4.140526976160615,3.4911242603550288,-0.7045987085662277
47,2018-07-20,16.68,17.48,-4.576659038901606,5.170239596469107,4.109589041095899,0.5482967548588273
48,2018-07-23,16.68,17.52,-4.794520547945204,5.170239596469107,4.2857142857142785,-0.046813504544619716
49,2018-07-24,16.81,17.54,-4.161915621436719,6.392405063291126,5.34534534534535,1.6116743221218504
50,2018-07-25,16.89,17.63,-4.197390811117405,6.696146557169934,5.379557680812902,1.4617231657423881
51,2018-07-26,16.9,17.67,-4.3576683644595535,6.155778894472353,5.116002379536009,1.0034885077821674
52,2018-07-27,16.83,17.57,-4.211724530449641,5.056179775280891,4.521118381915536,1.3630325220333177
53,2018-07-30,16.73,17.53,-4.563605248146039,4.497189256714546,5.095923261390896,0.38932845573692737
54,2018-07-31,16.79,17.6,-4.60227272727274,4.8719550281074175,5.515587529976029,0.2808255674515398
55,2018-08-01,16.77,17.62,-4.824063564131676,5.009392611145891,5.131264916467777,-0.3069571579125958
56,2018-08-02,16.86,17.65,-4.475920679886681,6.104468219005656,5.815347721822535,0.6712105139965042
57,2018-08-03,16.9,17.73,-4.681331077270174,6.557377049180323,6.550480769230768,0.08620691765841083
58,2018-08-06,16.96,17.77,-4.558244231851428,5.801621958827196,5.71088637715646,0.4098937872127742
59,2018-08-07,17.03,17.82,-4.433221099887762,6.238303181534622,6.0083283759666966,0.7582264421884907
60,2018-08-08,17.04,17.82,-4.377104377104383,6.499999999999995,6.134603930911264,0.9019895851539191
61,2018-08-09,17.12,17.84,-4.035874439461877,6.666666666666668,5.562130177514801,1.7979008646767372
62,2018-08-10,16.97,17.76,-4.448198198198213,4.882571075401725,4.286553141514976,0.6302746906396711
63,2018-08-13,16.97,17.67,-3.9615166949632306,4.559457794208247,3.6363636363636416,1.8816256783438794
64,2018-08-14,16.91,17.71,-4.517221908526261,4.189772027110288,3.870967741935485,0.3748820079941157
65,2018-08-15,16.94,17.56,-3.530751708428231,5.086848635235733,3.5988200589970467,2.8165200909407906
66,2018-08-16,16.98,17.71,-4.121964991530211,5.334987593052105,4.0540540540540615,1.2665117090805211
67,2018-08-17,17.13,17.78,-3.6557930258717777,6.397515527950295,4.526748971193412,2.328787077400737
68,2018-08-20,17.16,17.81,-3.6496350364963424,5.925925925925932,4.212990052662368,2.2314816285457946
69,2018-08-21,17.14,17.82,-3.815937149270481,5.802469135802477,4.2715038033938,1.767199920829609
70,2018-08-22,17.13,17.83,-3.92596747055524,5.156537753222835,4.574780058651013,1.4604871279715614
71,2018-08-23,17.06,17.81,-4.211117349803482,4.791154791154776,4.274004683840752,0.764099859335359
72,2018-08-24,17.18,17.87,-3.861219921656414,5.918618988902595,4.686584651435271,1.541214171010176
73,2018-08-27,17.2,17.98,-4.338153503893221,6.965174129353241,6.642941874258606,0.3874605929808424
74,2018-08-28,17.26,17.99,-4.057809894385753,7.338308457711464,6.70225385527876,1.0332606819407457
75,2018-08-29,17.17,18.07,-4.980630879911447,6.778606965174151,7.1767497034401,-1.1266268664491115
76,2018-08-30,17.19,18.0009,-4.504774761261938,5.849753694581299,5.639084507042267,-0.00948564365283139
77,2018-08-31,17.19,18.02,-4.60599334073251,6.307977736549161,6.438275251033668,-0.2516563632415761
78,2018-09-04,17.22,17.9878,-4.268448615172512,5.579399141630902,4.7019790454016315,0.5183055193426926
79,2018-09-05,17.15,17.95,-4.456824512534823,5.150214592274677,4.421175101803362,0.04831707103569771
80,2018-09-06,17.12,17.88,-4.250559284116321,4.51770451770453,3.2332563510392536,0.5236129780072835
81,2018-09-07,17.07,17.85,-4.36974789915967,3.958587088915947,3.119584055459288,0.1994881075782023
82,2018-09-10,17.11,17.85,-4.145658263305333,3.885853066180939,2.645198389879246,0.7482389707960229
83,2018-09-11,17.18,17.92,-4.129464285714297,4.31086824529448,3.0477285796434797,0.7831111303675923
84,2018-09-12,17.14,17.91,-4.299274148520378,3.004807692307692,2.93103448275863,0.2838290950143245
85,2018-09-13,17.08,17.89,-4.52766908887648,2.953586497890286,3.11239193083573,-0.3730772081428221
86,2018-09-14,17.07,17.91,-4.690117252931322,3.141993957703925,3.705848291835556,-0.8268306174127246
87,2018-09-17,16.95,17.82,-4.882154882154888,3.2906764168190077,3.4843205574912974,-1.321098984792281
88,2018-09-18,17.03,17.93,-5.019520356943661,3.778184034125539,4.12311265969803,-1.6606710978344843
89,2018-09-19,17.07,17.95,-4.902506963788295,4.467564259485926,4.542807221898646,-1.3126172343448224
90,2018-09-20,17.21,18.06,-4.706533776301207,4.939024390243916,5.122235157159482,-0.7784853703640562
91,2018-09-21,17.23,18.06,-4.595791805094121,5.640711220110372,5.552308591466974,-0.4668161549738164
92,2018-09-24,17.19,17.99,-4.446914952751514,5.719557195571953,6.073113207547156,-0.054161415246728066
93,2018-09-25,17.23,17.96,-4.0645879732739445,5.965559655596548,5.896226415094339,0.9931403370849339
94,2018-09-26,17.16,17.88,-4.026845637583887,5.147058823529411,5.2383755150088325,1.089222790126484
95,2018-09-27,17.09,17.9,-4.525139664804462,6.0173697270471385,6.105512744516879,-0.2690433849373695
96,2018-09-28,17.2,17.89,-3.856903297931812,6.435643564356431,5.545722713864314,1.5500814969684933
97,2018-10-01,17.22,17.9637,-4.140015698324958,5.969230769230762,5.420774647887326,0.7445525585999433
98,2018-10-02,17.22,17.9253,-3.9346621813860923,5.969230769230762,5.195422535211272,1.2779496678923559
99,2018-10-03,17.2,17.95,-4.178272980501393,5.716041794714196,5.650382577987056,0.597909565577354
100,2018-10-04,16.88,17.82,-5.274971941638616,3.494788473329248,4.149620105201642,-2.243836255279261
101,2018-10-05,16.6,17.74,-6.426155580608778,1.77805027590437,3.6820572764465167,-4.363877790140024
102,2018-10-08,16.73,17.72,-5.586907449209924,1.0265700483091893,1.6055045871559492,-2.4218653363559812
103,2018-10-09,16.79,17.68,-5.033936651583714,1.3888888888888915,1.3761467889908165,-1.2219978908483327
104,2018-10-10,16.24,17.22,-5.691056910569108,-2.6962252846015744,-1.4310246136233544,-2.4944258851896346
105,2018-10-11,15.93,16.92,-5.851063829787245,-4.093919325707404,-2.64672036823934,-2.6240142838195926
106,2018-10-12,16.0,17.04,-6.103286384976521,-4.0767386091127085,-2.6285714285714334,-2.858914125378946
107,2018-10-15,16.06,16.96,-5.306603773584918,-3.4275405892964543,-2.6406429391504065,-1.3773986056250047
108,2018-10-16,16.32,17.27,-5.500868558193394,-1.8641010222489403,-0.8610792192881865,-1.6685952006176952
109,2018-10-17,16.47,17.25,-4.521739130434789,-0.7831325301204972,-1.3157894736842128,0.027934952802018555
110,2018-10-18,16.16,17.03,-5.108631826189083,-3.291442250149615,-2.796803652968028,-0.9854196291784418
111,2018-10-19,16.26,17.04,-4.577464788732381,-2.048192771084336,-2.57289879931389,-0.06777673203440862
